Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
16,Providence University,3.27,Bachelor's,Providence,M,0,0,0,3,Junior SWE,06/14,06/19,Data Scientist,10/18,06/14,N/A,06/14,01/16
17,Providence City College,2.53,Bachelor's,New York,F,0,0,0,0,Junior SWE,06/15,05/16,Research Assistant,07/19,01/18,Research Assistant,06/14,08/17
18,Providence University,3.88,PhD,Miami,M,0,0,0,0,Senior SWE,08/12,03/17,Senior SWE,12/14,11/15,Junior SWE,01/13,07/12
19,State Providence College,2.71,Bachelor's,Los Angeles,F,0,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,Providence University,3.29,PhD,Providence,F,0,0,0,1,Lawyer,01/11,04/12,ML Engineer,11/11,09/17,N/A,11/11,08/19
21,Providence School,3.51,Bachelor's,Boston,M,0,0,0,0,ML Engineer,12/18,10/18,Junior SWE,09/14,07/15,N/A,11/16,11/15
22,Providence University,2.64,Bachelor's,Miami,F,0,0,0,3,Lawyer,06/15,03/17,Data Scientist,08/17,07/11,ML Engineer,04/14,11/15
23,State Providence College,3.63,PhD,Providence,M,0,0,0,0,Senior SWE,03/16,08/18,ML Engineer,03/18,12/19,ML Engineer,06/10,02/19
24,Providence University,3.42,Bachelor's,Providence,N/A,0,0,N/A,1,Senior SWE,01/13,04/10,Senior SWE,02/17,11/13,Junior SWE,09/19,04/18
25,Providence State University,3.51,Bachelor's,Providence,M,0,0,0,0,Data Scientist,04/18,02/18,Senior SWE,04/18,06/12,Lawyer,12/19,01/16
26,State Providence College,2.73,Bachelor's,Los Angeles,F,0,0,0,0,Research Assistant,03/19,04/19,Lawyer,08/10,09/18,Lawyer,12/10,07/11
27,Providence School,2.91,Bachelor's,Miami,M,0,0,0,4,Lawyer,10/16,10/12,Senior SWE,10/15,02/13,Senior SWE,11/10,04/16
28,Providence State University,2.95,Master's,New York,F,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,Providence School,2.73,Master's,Los Angeles,N/A,0,0,0,0,Research Assistant,03/11,02/12,Lawyer,06/15,08/12,N/A,12/10,03/12
30,Providence Tech Institute,3.35,PhD,Miami,M,1,0,0,3,Research Assistant,03/17,11/10,Lawyer,04/16,09/15,N/A,12/15,10/12
31,Providence City College,2.61,PhD,Chicago,M,0,0,0,0,Lawyer,06/16,06/12,Data Scientist,05/12,10/16,Lawyer,11/10,06/17
32,State Providence College,2.88,Master's,Los Angeles,F,0,0,0,0,Junior SWE,11/14,06/11,Data Scientist,03/16,04/19,Lawyer,10/10,02/13
33,Providence University,3.64,Bachelor's,Miami,F,0,0,0,0,Research Assistant,10/17,06/12,Senior SWE,10/19,02/14,ML Engineer,05/12,10/11
34,Providence Tech Institute,2.86,Bachelor's,Boston,M,0,0,0,0,Research Assistant,01/16,06/11,Senior SWE,04/14,09/11,Senior SWE,07/16,01/17
35,Providence School,2.79,Bachelor's,Providence,F,1,0,0,0,Senior SWE,07/19,10/14,ML Engineer,07/11,06/11,Senior SWE,01/19,11/15
36,Providence Tech Institute,2.71,Bachelor's,Los Angeles,M,1,1,0,0,Research Assistant,12/19,03/16,Lawyer,01/19,03/14,Lawyer,02/18,02/13
37,Providence School,3.43,PhD,Chicago,N/A,0,0,0,0,Junior SWE,02/18,06/15,Senior SWE,11/19,05/15,Research Assistant,05/15,11/15
38,Providence Tech Institute,3.18,Master's,New York,F,0,0,0,0,Junior SWE,05/17,07/11,Lawyer,07/15,01/11,Lawyer,03/13,07/12
39,Providence State University,2.83,Master's,New York,M,0,0,0,3,Research Assistant,11/13,09/11,Lawyer,01/14,08/18,Junior SWE,06/10,01/13
40,Providence State University,2.81,Bachelor's,Miami,F,0,0,1,0,Research Assistant,10/13,05/11,Junior SWE,02/19,04/16,Lawyer,09/13,12/18
41,State Providence College,3.98,Master's,Providence,M,0,0,0,2,Junior SWE,03/17,10/12,ML Engineer,01/17,09/18,N/A,04/14,06/16
42,State Providence College,2.6,Bachelor's,Chicago,F,1,1,0,0,Lawyer,10/14,12/18,Junior SWE,02/12,06/17,Research Assistant,09/17,11/14
43,Providence State University,3.62,Bachelor's,Boston,M,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,Providence Tech Institute,3.87,Bachelor's,Los Angeles,M,0,0,1,0,ML Engineer,10/15,07/16,ML Engineer,11/14,02/15,Research Assistant,10/12,06/17
45,Providence City College,3.17,PhD,New York,M,0,1,N/A,2,ML Engineer,04/14,03/13,Junior SWE,09/17,12/16,ML Engineer,10/13,12/15
46,State Providence College,3.22,Master's,Providence,M,0,0,0,0,Senior SWE,03/16,01/13,Research Assistant,02/11,07/16,Data Scientist,09/14,06/16
47,State Providence College,3.78,Bachelor's,Miami,M,0,1,0,0,Junior SWE,09/13,12/16,Junior SWE,05/15,04/19,Research Assistant,04/19,07/16
48,Providence State University,2.52,PhD,Chicago,N/A,0,0,0,0,Lawyer,08/19,04/10,Lawyer,02/14,10/14,Senior SWE,01/11,03/15
49,Providence Tech Institute,2.78,Bachelor's,Boston,M,0,1,0,1,ML Engineer,04/16,05/11,Lawyer,11/16,10/14,ML Engineer,03/13,05/11
50,State Providence College,3.57,Master's,Boston,M,0,1,0,2,Senior SWE,12/17,01/12,Junior SWE,12/12,01/10,Data Scientist,06/11,09/14
51,Providence State University,3.27,PhD,Chicago,M,0,0,0,0,Lawyer,04/13,08/10,Data Scientist,06/10,02/19,Lawyer,02/11,06/11
52,Providence Tech Institute,3.95,Bachelor's,Miami,M,0,0,0,0,Research Assistant,07/19,09/14,Research Assistant,08/19,05/16,Data Scientist,09/11,03/15
53,Providence University,2.82,PhD,Boston,M,0,0,0,0,Senior SWE,12/10,10/19,Junior SWE,05/16,05/17,Data Scientist,08/12,12/13
54,Providence University,3.83,PhD,Los Angeles,F,0,0,0,3,Senior SWE,09/16,09/18,ML Engineer,07/11,11/10,Lawyer,07/12,06/17
55,Providence University,4.0,Bachelor's,Los Angeles,F,0,1,0,0,ML Engineer,05/14,03/12,Data Scientist,07/13,01/14,N/A,12/12,08/16
56,Providence School,2.5,PhD,Providence,M,0,0,0,0,Lawyer,11/14,08/14,Data Scientist,08/15,03/12,N/A,02/19,02/13
57,Providence City College,2.93,Master's,Chicago,F,0,0,0,1,ML Engineer,07/19,07/12,Research Assistant,02/14,06/19,Research Assistant,09/17,06/18
58,Providence State University,3.97,PhD,New York,F,0,0,0,2,Research Assistant,03/12,12/15,Research Assistant,04/17,09/16,Research Assistant,12/11,05/10
59,Providence State University,3.85,PhD,Providence,M,0,0,0,0,Data Scientist,10/13,01/12,Junior SWE,05/18,02/17,ML Engineer,05/12,09/14
60,Providence Tech Institute,2.64,Master's,Los Angeles,M,0,0,0,0,Research Assistant,06/12,12/14,ML Engineer,09/18,08/14,Junior SWE,10/10,05/18
61,Providence City College,2.89,Master's,Los Angeles,F,0,0,0,4,Senior SWE,01/16,01/16,ML Engineer,08/12,05/12,Research Assistant,04/18,10/16
62,Providence School,3.44,Bachelor's,New York,F,1,0,1,0,Data Scientist,06/15,06/13,Research Assistant,04/14,10/19,Lawyer,07/15,07/14
63,Providence University,2.87,Master's,Boston,M,1,0,0,0,Senior SWE,01/12,08/13,Senior SWE,10/11,03/19,Lawyer,04/17,04/13
64,State Providence College,3.09,PhD,Providence,M,0,0,0,4,Research Assistant,08/13,11/18,Research Assistant,12/17,06/18,ML Engineer,11/14,12/17
65,Providence School,2.88,Master's,New York,M,0,1,1,0,Junior SWE,10/11,01/10,Junior SWE,09/16,04/16,Senior SWE,05/18,07/16
66,Providence State University,2.95,Bachelor's,Los Angeles,N/A,0,0,0,1,Junior SWE,09/16,04/18,Senior SWE,02/13,03/13,Research Assistant,10/11,06/17
67,Providence University,3.01,PhD,New York,F,0,0,0,0,Data Scientist,03/15,10/17,ML Engineer,10/14,01/15,Lawyer,06/16,10/18
68,Providence Tech Institute,3.29,PhD,Providence,M,0,0,0,3,Data Scientist,08/17,04/19,Junior SWE,06/16,08/13,Junior SWE,02/10,03/10
69,State Providence College,3.67,PhD,Chicago,F,1,0,1,0,Junior SWE,04/19,05/19,Lawyer,09/19,12/18,Junior SWE,02/17,06/19
70,Providence Tech Institute,3.33,PhD,New York,M,0,0,0,3,ML Engineer,04/18,06/14,Lawyer,05/16,09/18,Lawyer,12/11,05/15
71,Providence City College,2.87,Bachelor's,Boston,M,0,0,0,0,Data Scientist,03/14,06/19,Senior SWE,03/17,09/19,Lawyer,06/11,09/16
72,Providence University,3.48,PhD,Chicago,M,0,0,0,0,ML Engineer,06/18,04/19,Junior SWE,01/17,02/16,Lawyer,06/11,02/16
73,Providence School,3.75,PhD,New York,N/A,0,0,0,1,Junior SWE,07/12,02/19,Data Scientist,03/12,01/19,Lawyer,05/14,03/11
74,Providence University,3.47,Master's,New York,F,0,0,0,3,Research Assistant,12/10,07/14,Lawyer,06/10,08/12,Senior SWE,03/15,02/13
75,Providence State University,3.7,Bachelor's,Boston,M,0,0,0,0,Junior SWE,12/10,02/11,Junior SWE,12/10,12/10,N/A,04/18,01/19
76,Providence City College,3.17,Bachelor's,Boston,M,0,1,1,3,Junior SWE,08/11,09/14,Lawyer,01/14,06/15,Lawyer,08/19,03/10
77,Providence School,3.89,Master's,Providence,M,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,Providence State University,3.42,Bachelor's,Boston,F,0,0,0,4,Data Scientist,05/16,12/13,Junior SWE,11/16,06/15,ML Engineer,05/18,12/18
79,State Providence College,3.57,Master's,Miami,F,0,0,0,2,Research Assistant,02/19,02/19,Senior SWE,02/15,07/19,Senior SWE,07/14,05/11
80,Providence School,2.67,Master's,Miami,M,0,0,0,1,Junior SWE,04/16,08/15,ML Engineer,12/10,07/11,Data Scientist,02/10,05/10
81,Providence City College,3.44,Bachelor's,Los Angeles,F,0,0,0,0,Junior SWE,05/18,02/12,ML Engineer,05/18,08/18,Senior SWE,11/16,01/14
82,State Providence College,2.54,PhD,Chicago,M,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,Providence Tech Institute,2.75,Master's,Providence,M,0,0,0,3,Research Assistant,09/19,04/15,Junior SWE,05/14,07/19,Data Scientist,06/18,09/13
84,Providence School,3.55,PhD,New York,N/A,0,0,0,0,Junior SWE,01/18,10/14,Lawyer,11/10,12/12,Data Scientist,01/11,12/13
85,Providence University,3.51,Master's,Los Angeles,N/A,0,0,0,1,Junior SWE,07/17,04/13,Junior SWE,04/16,02/19,Junior SWE,03/11,12/14
86,Providence School,3.24,Master's,Los Angeles,N/A,0,0,0,3,ML Engineer,02/16,09/13,Junior SWE,01/14,10/15,ML Engineer,04/14,12/16
87,Providence Tech Institute,3.49,Master's,New York,M,0,0,N/A,0,Senior SWE,05/16,12/12,ML Engineer,12/13,03/11,Research Assistant,06/17,09/16
88,State Providence College,3.73,PhD,Providence,M,0,1,0,3,Senior SWE,08/18,11/13,Lawyer,06/19,06/10,Senior SWE,09/19,10/10
89,Providence City College,3.75,Bachelor's,New York,F,0,0,0,0,Junior SWE,08/19,03/10,Data Scientist,10/15,10/19,Research Assistant,12/11,05/10
90,Providence State University,3.83,Bachelor's,Providence,M,0,1,0,3,Senior SWE,06/19,10/14,Lawyer,06/17,07/13,Research Assistant,09/12,10/15
91,Providence City College,3.84,Bachelor's,Providence,M,0,1,0,0,Data Scientist,02/13,12/16,ML Engineer,12/10,02/10,Senior SWE,07/15,07/17
92,Providence City College,3.35,PhD,Boston,F,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93,Providence University,3.03,Bachelor's,Chicago,M,0,1,0,0,Data Scientist,04/10,09/11,Junior SWE,05/17,09/14,Lawyer,04/13,11/11
94,Providence City College,2.5,PhD,Providence,F,0,0,0,1,ML Engineer,11/10,11/10,Lawyer,09/18,04/13,Lawyer,05/18,11/17
95,Providence City College,3.9,PhD,Chicago,M,0,0,0,0,Lawyer,12/14,07/17,Lawyer,11/14,05/16,N/A,09/10,05/11
96,State Providence College,2.8,Master's,Boston,M,0,0,0,0,ML Engineer,08/15,10/17,Lawyer,04/14,02/17,Junior SWE,03/11,11/13
97,Providence City College,3.75,PhD,New York,F,0,0,0,3,Senior SWE,11/17,07/14,Lawyer,04/10,01/11,Research Assistant,11/19,06/10
98,Providence University,2.88,Master's,Los Angeles,M,0,0,0,2,Lawyer,11/17,02/11,Junior SWE,11/11,06/18,Senior SWE,05/17,06/18
99,Providence University,2.98,Master's,Los Angeles,F,0,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,Providence City College,2.81,Master's,Chicago,F,1,0,0,0,Research Assistant,01/16,10/16,Junior SWE,05/15,06/16,ML Engineer,10/18,01/10
101,Providence University,3.66,PhD,Miami,F,0,0,0,0,ML Engineer,01/15,10/15,ML Engineer,08/15,08/14,Lawyer,01/14,12/18
102,State Providence College,3.15,PhD,New York,F,0,0,1,0,Data Scientist,09/15,08/13,Junior SWE,09/16,06/13,Data Scientist,03/13,01/13
103,Providence City College,3.94,PhD,Boston,F,0,0,0,1,Research Assistant,07/13,05/13,Data Scientist,09/10,06/14,Junior SWE,04/13,12/10
104,State Providence College,3.71,Master's,Chicago,F,0,0,1,4,Senior SWE,04/17,12/17,ML Engineer,06/11,02/11,N/A,07/12,05/10
105,Providence City College,3.35,Bachelor's,New York,F,0,0,0,0,Data Scientist,07/15,01/18,Research Assistant,05/11,09/16,Research Assistant,05/19,07/15
106,Providence University,3.67,Master's,Chicago,N/A,0,1,0,3,Senior SWE,07/13,04/15,Research Assistant,09/16,10/13,Senior SWE,05/11,07/18
107,State Providence College,3.76,Master's,Chicago,F,0,0,0,3,ML Engineer,12/12,08/19,Junior SWE,07/11,12/16,Junior SWE,06/17,03/10
108,Providence Tech Institute,3.88,Bachelor's,New York,F,0,0,0,0,Junior SWE,04/18,11/19,Lawyer,08/18,03/10,Research Assistant,01/19,04/10
109,Providence School,2.62,PhD,Chicago,M,0,0,0,0,ML Engineer,11/10,04/16,Senior SWE,09/11,10/18,Data Scientist,12/19,05/10
110,Providence University,3.7,Master's,Chicago,M,0,0,0,3,Research Assistant,05/10,08/15,Data Scientist,02/18,09/14,Junior SWE,02/13,10/18
111,Providence School,2.78,Bachelor's,New York,M,0,1,0,3,Senior SWE,06/15,02/14,Research Assistant,11/17,03/12,N/A,12/13,11/11
112,Providence University,3.87,Bachelor's,Miami,M,0,1,0,1,Data Scientist,06/18,06/14,Research Assistant,08/17,09/15,N/A,11/17,12/12
113,Providence Tech Institute,2.78,Bachelor's,Boston,M,0,0,0,0,Senior SWE,06/14,04/18,ML Engineer,02/17,05/14,Lawyer,11/13,08/18
114,Providence City College,2.76,PhD,Miami,F,0,1,1,0,Data Scientist,01/11,01/14,Research Assistant,12/19,03/12,Data Scientist,09/13,09/10
115,Providence State University,3.24,PhD,Boston,M,0,0,1,0,Lawyer,12/10,11/18,Data Scientist,04/19,01/13,Data Scientist,03/11,12/18
116,State Providence College,3.79,Bachelor's,Miami,F,1,0,0,0,ML Engineer,04/11,04/15,ML Engineer,08/19,12/19,ML Engineer,11/15,08/16
117,Providence State University,2.63,Bachelor's,Miami,M,0,1,0,3,Senior SWE,02/13,03/16,ML Engineer,04/18,05/17,ML Engineer,09/13,11/17
118,Providence Tech Institute,2.59,PhD,New York,F,0,0,0,0,Junior SWE,08/16,04/18,Lawyer,02/18,06/10,Lawyer,08/11,08/11
119,Providence University,3.65,PhD,Los Angeles,M,0,1,0,0,Senior SWE,03/16,07/16,Data Scientist,09/19,06/15,Lawyer,04/15,08/12
120,Providence State University,3.76,Master's,Boston,F,0,0,0,3,Research Assistant,01/16,04/17,Lawyer,03/16,05/18,N/A,02/16,05/12
121,State Providence College,3.19,PhD,Boston,F,0,1,0,1,Junior SWE,12/11,07/14,Junior SWE,11/15,04/13,N/A,05/10,10/18
122,Providence City College,3.47,PhD,New York,F,0,0,0,0,Junior SWE,03/18,09/12,Lawyer,11/14,07/16,Lawyer,02/19,06/19
123,Providence School,2.69,PhD,New York,M,0,0,0,0,Senior SWE,06/18,08/17,Senior SWE,06/14,02/16,Junior SWE,08/16,12/13
124,Providence School,3.39,PhD,New York,F,1,0,0,3,Senior SWE,12/11,04/13,Lawyer,02/17,02/17,ML Engineer,05/14,02/16
125,Providence School,2.52,Master's,Miami,N/A,0,0,0,1,Senior SWE,08/19,04/10,Research Assistant,09/11,02/16,Data Scientist,01/19,05/19
126,Providence City College,2.95,Master's,New York,M,1,1,0,0,Senior SWE,02/13,04/16,Data Scientist,07/13,03/14,Senior SWE,09/10,01/13
127,State Providence College,2.53,Bachelor's,New York,F,1,0,0,3,Senior SWE,10/17,08/16,Data Scientist,03/13,12/12,Senior SWE,12/13,06/17
128,Providence School,2.91,Bachelor's,Boston,F,0,0,0,0,ML Engineer,10/18,12/10,Lawyer,03/16,06/12,Junior SWE,07/12,10/15
129,Providence School,2.53,Master's,Miami,F,0,0,0,1,Junior SWE,11/12,10/13,Data Scientist,11/15,02/17,Senior SWE,03/19,02/16
130,Providence Tech Institute,3.91,PhD,Los Angeles,F,0,0,0,3,Research Assistant,09/11,01/17,Senior SWE,03/10,02/10,Junior SWE,11/18,06/11
131,Providence City College,3.82,Bachelor's,Chicago,F,0,0,0,0,ML Engineer,10/19,02/12,Junior SWE,07/18,02/18,Lawyer,07/15,04/15
132,Providence State University,2.81,Master's,Boston,M,0,0,0,0,Junior SWE,08/19,01/16,Junior SWE,11/13,04/12,N/A,07/13,01/15
133,Providence Tech Institute,3.88,Master's,Boston,F,0,1,0,4,Lawyer,05/11,08/11,Data Scientist,04/18,08/15,Research Assistant,09/13,05/19
134,Providence Tech Institute,3.84,Bachelor's,Providence,F,0,1,0,1,ML Engineer,08/19,06/19,Data Scientist,10/16,12/14,ML Engineer,01/10,03/11
135,State Providence College,2.83,Bachelor's,Boston,N/A,0,1,0,0,ML Engineer,04/17,10/19,Junior SWE,11/15,03/14,Lawyer,06/19,09/11
136,Providence Tech Institute,3.51,Bachelor's,Miami,M,0,0,0,0,Data Scientist,04/15,01/17,Senior SWE,06/12,05/19,Junior SWE,02/12,12/13
137,Providence University,2.78,Bachelor's,New York,F,1,0,0,0,Junior SWE,03/12,06/13,Lawyer,07/19,09/11,N/A,03/12,12/10
138,Providence University,3.52,Bachelor's,Miami,M,0,1,0,0,Senior SWE,10/17,09/15,Junior SWE,12/13,01/19,Data Scientist,05/12,02/11
139,Providence City College,2.6,Bachelor's,Chicago,F,0,0,0,3,Research Assistant,05/16,08/19,Junior SWE,07/17,09/16,Data Scientist,10/13,10/12
140,Providence City College,3.79,Master's,Miami,M,0,0,0,0,Research Assistant,07/15,01/15,Junior SWE,05/13,05/13,Lawyer,12/17,10/11
141,Providence University,3.74,PhD,Providence,M,0,0,0,1,Data Scientist,04/12,11/10,Data Scientist,06/15,12/16,Senior SWE,06/19,01/12
142,Providence School,2.76,Bachelor's,Boston,F,0,0,0,1,Junior SWE,05/14,09/15,Data Scientist,10/16,12/14,Research Assistant,08/17,09/12
143,Providence Tech Institute,3.16,PhD,New York,F,1,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
144,Providence City College,2.88,Master's,Boston,F,0,0,0,0,ML Engineer,10/11,12/10,ML Engineer,04/15,08/13,Junior SWE,02/12,12/12
145,Providence Tech Institute,2.68,Bachelor's,Chicago,M,0,0,0,3,Senior SWE,06/11,05/18,Junior SWE,06/12,12/17,Senior SWE,02/17,05/15
146,Providence School,2.52,PhD,Boston,F,0,0,0,1,ML Engineer,10/12,02/18,Data Scientist,11/18,08/18,Junior SWE,04/17,10/15
147,Providence City College,2.95,PhD,Boston,F,1,1,0,0,Research Assistant,10/10,04/15,Junior SWE,10/10,07/13,Lawyer,01/19,04/14
148,Providence Tech Institute,3.91,Bachelor's,Chicago,F,0,1,0,0,Senior SWE,02/13,10/11,Lawyer,01/12,01/16,N/A,02/12,08/11
149,Providence School,3.83,Master's,Providence,F,0,0,0,0,Research Assistant,01/17,03/11,Data Scientist,08/18,01/14,Senior SWE,11/15,10/15
150,State Providence College,3.15,PhD,Miami,F,0,1,0,0,Junior SWE,10/14,12/17,Junior SWE,06/18,03/10,N/A,09/13,07/17
151,Providence State University,2.93,Bachelor's,New York,M,0,0,0,0,Research Assistant,02/15,01/18,Data Scientist,06/13,01/18,Data Scientist,05/15,10/19
152,State Providence College,2.96,Bachelor's,Boston,M,1,0,0,1,Data Scientist,09/12,03/18,Research Assistant,07/11,02/19,Research Assistant,04/13,11/10
153,Providence School,3.56,PhD,Boston,F,0,0,0,3,Data Scientist,12/11,08/15,Senior SWE,05/16,08/19,Data Scientist,03/17,12/19
154,Providence University,2.9,Bachelor's,Los Angeles,M,0,1,0,1,Lawyer,01/11,08/16,Senior SWE,09/19,08/13,ML Engineer,06/15,04/17
155,Providence University,3.74,Bachelor's,Chicago,M,0,0,1,0,Senior SWE,03/13,12/19,Lawyer,08/19,03/13,Lawyer,06/13,01/19
156,Providence University,3.04,PhD,Providence,F,0,1,0,0,ML Engineer,05/19,02/16,ML Engineer,01/13,10/19,Senior SWE,10/19,09/18
157,Providence Tech Institute,2.6,PhD,Los Angeles,N/A,0,1,0,0,ML Engineer,11/18,01/19,Lawyer,01/12,04/15,ML Engineer,11/10,08/11
158,Providence Tech Institute,2.68,Master's,Los Angeles,M,0,0,0,0,Research Assistant,03/17,07/13,Research Assistant,09/15,08/19,N/A,11/15,03/17
159,Providence University,3.66,PhD,Miami,F,0,0,0,2,Lawyer,07/12,01/18,Junior SWE,04/10,04/18,Junior SWE,06/14,09/15
160,Providence University,3.66,PhD,Boston,M,1,0,0,1,Senior SWE,08/18,04/16,Senior SWE,06/11,06/16,Lawyer,02/11,05/19
161,State Providence College,3.1,Master's,Providence,M,0,1,0,0,Lawyer,10/10,01/15,Research Assistant,02/19,11/15,Research Assistant,03/15,11/17
162,Providence School,3.99,Master's,Providence,F,0,0,0,2,Lawyer,12/14,07/16,Data Scientist,04/18,08/13,Data Scientist,05/16,07/19
163,Providence Tech Institute,2.83,PhD,New York,F,0,0,0,4,Research Assistant,05/15,07/12,Junior SWE,06/19,06/13,Junior SWE,01/10,11/19
164,Providence State University,2.79,PhD,Chicago,M,0,0,0,3,ML Engineer,02/10,03/18,Research Assistant,04/16,04/12,Junior SWE,09/18,07/15
165,Providence School,3.29,Master's,Providence,M,0,1,0,0,Data Scientist,02/10,12/13,Research Assistant,05/11,07/16,Junior SWE,03/12,07/12
166,Providence University,3.33,PhD,Los Angeles,M,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
167,State Providence College,3.13,Master's,Chicago,F,0,0,0,0,Research Assistant,01/12,08/12,Research Assistant,06/18,02/14,Lawyer,07/15,09/14
168,Providence State University,3.36,Master's,New York,F,0,0,0,0,Junior SWE,10/17,04/19,Research Assistant,01/17,10/17,ML Engineer,05/18,09/17
169,Providence School,3.84,Master's,Chicago,M,0,0,0,0,Junior SWE,04/11,05/17,Data Scientist,03/11,03/12,Lawyer,07/17,04/14
170,Providence State University,3.2,Master's,Boston,F,0,1,0,1,Data Scientist,12/16,09/15,Research Assistant,05/11,03/10,N/A,08/18,10/12
171,Providence City College,3.99,Bachelor's,Los Angeles,N/A,0,0,0,2,Senior SWE,09/16,09/19,Lawyer,05/11,02/16,N/A,02/11,11/17
172,Providence University,3.92,Bachelor's,Los Angeles,M,0,1,0,1,Research Assistant,06/10,10/14,Lawyer,12/13,06/18,N/A,06/19,05/16
173,Providence School,3.56,Bachelor's,Providence,N/A,0,1,0,3,ML Engineer,12/19,09/19,ML Engineer,06/16,09/16,N/A,05/12,08/13
174,Providence City College,3.56,Master's,Chicago,F,0,1,0,0,Lawyer,04/12,05/13,ML Engineer,05/12,12/18,Research Assistant,08/11,03/19
175,Providence Tech Institute,3.59,Master's,Miami,F,0,0,1,1,Junior SWE,10/15,06/16,Data Scientist,09/12,01/15,Research Assistant,01/13,10/19
176,State Providence College,3.79,Master's,New York,M,0,0,0,0,ML Engineer,01/10,07/12,Research Assistant,04/15,02/17,Data Scientist,05/13,02/19
177,Providence Tech Institute,3.75,Bachelor's,Chicago,F,0,0,0,0,Lawyer,09/13,12/13,ML Engineer,11/12,05/11,N/A,10/16,11/11
178,Providence State University,3.58,Bachelor's,Boston,F,0,0,0,3,Lawyer,04/17,06/16,Lawyer,07/16,09/14,Research Assistant,10/11,03/16
179,Providence School,3.72,Bachelor's,Providence,M,0,0,0,4,Lawyer,10/18,06/13,Junior SWE,09/16,09/17,Senior SWE,06/12,01/12
180,Providence School,3.15,Bachelor's,Boston,M,0,1,0,0,Junior SWE,02/11,02/11,Data Scientist,12/10,09/13,Data Scientist,07/14,10/17
181,Providence Tech Institute,3.25,Bachelor's,Providence,N/A,0,0,0,0,Research Assistant,12/19,02/15,Lawyer,01/14,12/12,Senior SWE,10/14,09/16
182,Providence University,3.84,PhD,Providence,M,0,0,0,3,Data Scientist,03/12,10/15,Lawyer,05/14,06/12,Data Scientist,12/10,04/19
